id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
260,49489,Bakuten Shoot Beyblade 2002: Takao Version,NULL,2003-01-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
355,92853,Moorhuhn Kart Extra,NULL,2003-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
610,3854,Charinko Hero,NULL,2003-07-17 00:00:00.000,NULL,NULL,NULL,NULL,16.0000,0
759,49848,Tennis no Oji-Sama 2003: Passion Red,NULL,2003-03-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
773,75955,Akiba Girls,"Shindou Nikita has a secret that he has been hiding for a long time—he loves hentai and h-games. He enters ""The Alternative Trivia Research Club"" where the first of his many sexual encounters takes place. Despite that, he finds out that both of his foster sisters are in love with him, and he has to make a choice—who does he really love. Nikita Shindou loves the world of animation more than anything; he puts his life into it. He has never fallen for a real, living girl, until the day he meets Ren Aoi.    We're introduced to young man Nikita Shindou as he's making his way through Akihabara, which is his main haunt and the place where he gets all his bishōjo games, which he plays in his room all alone in the dark. Keeping them a secret from his sister who just moved in a few months ago after their parents had died, Nikita loves playing up the characters having sex with each other and manipulating them as he can. To his surprise on his way home though, he comes across a park he hadn't remembered before and sees a beautiful woman there, one that reminds him strikingly of an older Sheeta from Laputa: Castle in the Sky! Even more amazing is that she comes into his room in some sort of dream sequence not too much later and keeps calling him Pazu and the two fool around quite a bit only for it to end up as a dream.",2003-10-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1039,49497,Gachasute! Dino Device 2 - Phoenix,NULL,2003-07-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1057,3899,DreamMix TV World Fighters,NULL,2003-12-18 00:00:00.000,NULL,NULL,NULL,NULL,54.0000,0
1350,49798,Puzzle & Tantei Collection,NULL,2003-04-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1425,49641,Cesti to Meigurumi-tachi no Mahou no Bouken: Kisekko Gurumii,NULL,2003-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1763,112143,Quiz Magic Academy,NULL,2003-07-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2219,1989,Alter Echo,"In a world where psychics, known as shapers, can create any object they want with a substance called Plast, the best shaper of all, Paavo, develops a new type of Plast - EchoPlast. The ship of Nevin and his crew is shot down by Paavo and they crashland on his planet. The EchoPlast, having developed a conscience, asks Nevin to stop Paavo from destroying humanity with the EchoPlast's power. The EchoPlast forms a suit for Nevin to help him.",2003-08-19 00:00:00.000,NULL,NULL,62.5000,3,49.1002,4
2328,43327,Spy Fiction,NULL,2003-12-25 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
2747,49851,Tennis no Oji-Sama: Aim at the Victory!,NULL,2003-01-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2790,24110,Xtreme Air Racing 2,NULL,2003-10-30 00:00:00.000,NULL,NULL,55.0000,1,NULL,NULL
3041,57016,Sinjid: Battle Arena,NULL,2003-08-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3339,38662,Dragon Ball,NULL,2003-11-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3581,24101,Fugitive Hunter,NULL,2003-11-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3587,712,Microsoft Flight Simulator 2004: A Century of Flight,NULL,2003-07-29 00:00:00.000,2,NULL,82.6667,3,70.7390,5
4216,8833,ESPN NBA Basketball,NULL,2003-10-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4350,73995,Scrabble 2003 Edition,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4416,70123,AirStrike 3D: Operation W.A.T.,NULL,2003-01-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5190,6524,Ninja Five-O,NULL,2003-04-11 00:00:00.000,1,NULL,79.0000,1,70.1189,6
5340,44784,Naruto: Shinobi no Sato no Jintori Kassen,NULL,2003-07-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5877,49252,Dancing Sword: Senkou,NULL,2003-04-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6043,89072,Truck Racing,NULL,2003-02-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6194,140655,Lara Croft: The Sun Obelisk,"The Sun Obelisk follows Lara’s attempts to find the forgotten Sun Obelisk, an artifact that grants special powers to anyone who has contact with. However, the map that was showing the location of the Sun Obelisk has been stolen by Lara’s former friend, Damian Strathairn. But Lara had a copy of that map.... and the adventure begins...",2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6475,22247,Rugby 2004,NULL,2003-09-16 00:00:00.000,2,NULL,40.0000,1,NULL,NULL
6676,49305,Disney Sports: Motocross,NULL,2003-05-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
